matricule,serie_bac,wilaya_bac,moyenne_bac,sexe,english,french,his_geo,arabic_literature,maths,philosophy,physics,primary_module,islamic_science
36041144,N03,36,9.3,FEMININ,7.0,12.5,6.0,16.0,2.5,10.5,6.0,11.5,15.0
32051590,N05,42,11.77,FEMININ,8.0,9.0,12.0,11.5,13.5,6.0,7.0,15.5,17.0
36048264,N03,41,15.62,FEMININ,18.0,13.0,16.0,13.0,16.0,10.5,14.5,18.0,17.5
38008147,N05,14,11.27,MASCULIN,6.0,3.5,11.0,10.5,11.5,10.5,7.5,18.0,10.0
39044317,N05,17,13.57,FEMININ,15.0,5.5,12.0,14.0,14.5,9.5,13.0,17.0,10.5
33018861,N03,10,14.85,MASCULIN,16.0,13.0,17.0,17.5,14.5,13.0,16.0,10.5,20.0
39083962,N03,47,11.95,FEMININ,14.5,14.5,14.5,10.5,12.0,11.0,9.5,10.0,17.0
33045677,N03,34,12.2,MASCULIN,8.5,9.0,8.5,15.5,15.5,4.5,13.0,10.5,17.5
31075805,N03,16,18.2,FEMININ,18.0,18.0,17.0,17.5,19.5,16.5,20.0,16.5,20.0
32016807,N05,9,11.0,MASCULIN,8.5,12.0,10.0,9.5,12.0,7.0,11.0,12.5,8.5
33009003,N04,6,9.56,MASCULIN,11.0,12.0,8.0,8.5,11.5,3.5,9.0,7.5,7.5
36041897,N03,36,10.23,FEMININ,8.5,7.0,12.5,5.5,8.5,5.5,10.0,14.5,16.0
33006443,N03,6,10.04,FEMININ,6.5,10.0,10.5,9.0,7.5,10.0,9.0,9.5,14.5
38027683,N03,20,10.33,FEMININ,10.5,8.5,12.5,12.5,11.5,9.5,6.5,7.0,19.5
31075119,N03,16,11.52,FEMININ,14.5,9.5,10.0,16.0,13.0,2.0,12.5,9.5,11.0
35034302,N03,7,9.58,FEMININ,14.0,9.0,14.5,12.5,10.0,3.5,4.0,9.0,12.0
31007703,N05,15,9.96,MASCULIN,9.5,13.5,8.0,7.0,3.5,6.5,4.0,18.5,16.0
37069157,N04,31,15.4,FEMININ,17.5,16.5,16.0,14.5,16.5,8.5,15.0,13.0,18.0
33053616,N03,34,16.88,FEMININ,16.0,12.5,18.0,18.0,18.0,16.0,18.0,15.0,19.0
38071512,N03,38,14.07,FEMININ,11.5,14.5,17.5,15.0,14.0,9.5,12.5,13.5,19.0
36024408,N03,23,11.93,FEMININ,13.0,9.0,13.5,14.0,11.0,10.0,9.0,11.5,18.5
39012837,N03,3,9.43,FEMININ,5.0,4.5,15.0,12.0,5.0,12.5,10.5,10.5,11.5
35025507,N03,5,11.47,MASCULIN,6.5,4.5,15.5,15.0,16.0,4.0,8.0,11.0,16.5
36052788,N05,41,10.88,FEMININ,16.0,12.0,13.0,14.0,6.0,5.0,8.0,12.5,17.0
36054056,N03,41,16.88,FEMININ,16.5,14.5,18.5,14.0,20.0,15.5,17.0,15.5,19.0
33035877,N05,18,13.28,MASCULIN,6.0,6.5,10.5,10.0,18.0,9.0,13.5,15.5,14.5
35027425,N03,5,10.78,MASCULIN,13.5,12.5,5.5,14.5,15.5,1.5,9.5,7.5,12.5
35072928,N03,28,10.27,MASCULIN,9.0,2.0,11.0,15.5,10.5,1.0,12.5,10.5,9.0
31037770,N03,35,11.56,FEMININ,14.5,12.5,11.5,15.0,10.5,8.5,8.5,9.5,19.0
35066499,N03,19,15.82,FEMININ,14.5,15.0,16.5,16.0,16.0,15.5,16.0,14.5,18.5
32068823,N03,44,10.25,FEMININ,11.0,7.5,13.5,15.0,11.0,7.0,7.5,7.0,15.5
35082507,N03,28,12.08,FEMININ,5.0,11.0,11.0,13.5,10.5,11.5,18.5,7.5,18.5
32040985,N03,26,10.68,FEMININ,6.5,8.5,12.5,13.0,11.5,6.0,9.0,10.0,16.5
32029719,N03,9,11.6,FEMININ,6.5,7.5,10.0,13.0,9.5,5.0,16.5,13.0,12.0
34045946,N03,25,15.97,FEMININ,18.0,14.5,11.0,16.0,17.5,12.5,17.5,15.0,19.0
31045782,N03,16,9.93,FEMININ,4.0,7.5,13.0,15.0,5.0,8.5,7.0,12.0,18.0
31016523,N03,15,11.45,MASCULIN,10.5,14.5,13.5,9.5,9.5,7.5,9.0,10.5,18.5
37012569,N03,13,10.02,FEMININ,9.0,6.5,14.0,12.5,10.5,3.0,7.5,10.5,12.5
35053563,N05,19,13.12,MASCULIN,7.0,5.5,13.0,10.0,18.0,2.5,13.5,15.0,17.5
32020291,N03,9,10.33,MASCULIN,9.0,10.5,9.5,14.0,7.5,4.5,14.5,6.0,18.5
31062553,N03,16,10.88,MASCULIN,10.0,15.0,10.0,8.0,10.5,3.5,12.0,14.0,5.5
38036516,N03,22,11.25,FEMININ,6.5,10.5,9.5,15.0,11.0,13.0,9.5,9.5,17.0
35068937,N03,28,16.0,MASCULIN,17.5,14.0,18.5,16.5,18.5,12.0,19.0,10.5,18.5
31026984,N03,35,11.0,FEMININ,7.5,9.0,10.0,11.5,6.5,12.5,13.0,12.0,15.0
37029638,N03,27,9.11,FEMININ,15.0,15.0,10.5,9.5,2.5,7.5,2.5,12.0,17.0
